name,rms,iteracion,error,
8,2438.6075,102,0,2438.6075
8,0.1094,128,0.109395092133523,2438.6075
8,0.015625,256,0.015624899885232,2438.6075
80,2438.6075,102,0,2438.6075
80,0.09375,128,0.093746395868339,2438.6075
80,0,256,0,2438.6075
800,2438.6075,102,0,2438.6075
800,0.09375,128,0.093746395868339,2438.6075
800,0,256,0,2438.6075
8000,2438.6075,102,0,2438.6075
8000,0.09375,128,0.093746395868339,2438.6075
8000,0,256,0,2438.6075
80000,2438.6075,102,0,2438.6075
80000,0.09375,128,0.093746395868339,2438.6075
80000,0,256,0,2438.6075
8,0.40625,1128,0.406182322416584,2438.6075
8,0.34375,1256,0.343701544452111,2438.6075
80,0.359375,1128,0.359322039287534,2438.6075
80,0.296875,1256,0.29683885856862,2438.6075
800,0.15625,1128,0.156239988523163,2438.6075
800,0.0625,1256,0.062498398163706,2438.6075
8000,0.1406,1128,0.140591893586811,2438.6075
8000,0.0469,1256,0.046899098005727,2438.6075
