name,rms,iteracion,error,,
16,16393.75,102,15646.8485891224,8387.953125,(ABS(B2-E2))*(B2/E2)
16,16291.9692,128,19432.2497170247,7429.924809,
16,15433.71391,256,32364.8742306542,4983.400856,
160,5006.25,102,2018.32926546442,8387.953125,
160,4389.505,128,1796.24132098058,7429.924809,
160,2828.77,256,1223.05134638905,4983.400856,
1600,5006.25,102,2018.32926546442,8387.953125,
1600,4385.5361,128,1796.95985208077,7429.924809,
1600,2827.7778,256,1223.18537060607,4983.400856,
16000,5006.25,102,2018.32926546442,8387.953125,
16000,4385.5361,128,1796.95985208077,7429.924809,
16000,2827.7778,256,1223.18537060607,4983.400856,
160000,5006.25,102,2018.32926546442,8387.953125,
160000,4385.5361,128,1796.95985208077,7429.924809,
160000,2827.7778,256,1223.18537060607,4983.400856,
16,15387.5,1102,12840.5018404371,8387.953125,
16,14930.66711,1128,15072.9770829537,7429.924809,
16,14447.46437,1256,27437.4316586047,4983.400856,
160,6806.25,1102,1283.44385502646,8387.953125,
160,6719.197083,1128,642.741317861219,7429.924809,
160,6370.933914,1256,1773.86521201985,4983.400856,
1600,6806.25,1102,1283.44385502646,8387.953125,
1600,6715.228271,1128,645.948716917012,7429.924809,
1600,6370.933914,1256,1773.86521201985,4983.400856,
16000,6806.25,1102,1283.44385502646,8387.953125,
16000,6715.228271,1128,645.948716917012,7429.924809,
16000,6370.933914,1256,1773.86521201985,4983.400856,
160000,6806.25,1102,1283.44385502646,8387.953125,
160000,6715.228271,1128,645.948716917012,7429.924809,
160000,6370.933914,1256,1773.86521201985,4983.400856,
