name,PSNR,iteracion,
16,5.9840205293,102,0.0096116878
16,6.0110677784,128,0.0061035156
16,6.2460991518,256,0.0015258789
160,11.1356782744,102,0.0096116878
160,11.7066481233,128,0.0061035156
160,13.6148271331,256,0.0015258789
1600,11.1356782744,102,0.0096116878
1600,11.7105766127,128,0.0061035156
1600,13.6163507062,256,0.0015258789
16000,11.1356782744,102,0.0096116878
16000,11.7105766127,128,0.0061035156
16000,13.6163507062,256,0.0015258789
160000,11.1356782744,102,0.0096116878
160000,11.7105766127,128,0.0061035156
160000,13.6163507062,256,0.0015258789
16,6.259122949,1102,
16,6.390011481,1128,
16,6.532887288,1256,
160,9.801724638,1102,
160,9.857629812,1128,
160,10.08877261,1256,
1600,9.801724638,1102,
1600,9.860195806,1128,
1600,10.08877261,1256,
16000,9.801724638,1102,
16000,9.860195806,1128,
16000,10.08877261,1256,
160000,9.801724638,1102,
160000,9.860195806,1128,
160000,10.08877261,1256,
