name,sme,iteracion,error,
16,17062.5,102,39725.1344086022,5126.625
16,17292.1096,128,47430.1041469027,4620.006596
16,16162.9829,256,64466.3085375186,3240.038596
160,5850,102,825.444371296906,5126.625
160,5270.581,128,742.186189902298,4620.006596
160,3666.1891,256,482.200531392777,3240.038596
1600,5850,102,825.444371296906,5126.625
1600,5270.581,128,742.186189902298,4620.006596
1600,3663.2126,256,478.443789329863,3240.038596
16000,5850,102,825.444371296906,5126.625
16000,5270.581,128,742.186189902298,4620.006596
16000,3663.2126,256,478.443789329863,3240.038596
160000,5850,102,825.444371296906,5126.625
160000,5270.581,128,742.186189902298,4620.006596
160000,3663.2126,256,478.443789329863,3240.038596
16,18575,1102,20890.2645349928,8742.640625
16,18835.9771,1128,19259.1369725943,9313.373695
16,19309.2578,1256,17998.9351039015,9993.714725
160,10037.5,1102,1486.63905266751,8742.640625
160,10632.4447,1128,1505.89356503169,9313.373695
160,11204.9457,1256,1358.03129051526,9993.714725
1600,10031.25,1102,1478.5421644812,8742.640625
1600,10632.4447,1128,1505.89356503169,9313.373695
1600,7544.7098,1256,1848.86520841686,9993.714725
16000,10031.25,1102,1478.5421644812,8742.640625
16000,10632.4447,1128,1505.89356503169,9313.373695
16000,7544.7098,1256,1848.86520841686,9993.714725
160000,10031.25,1102,1478.5421644812,8742.640625
160000,10632.4447,1128,1505.89356503169,9313.373695
160000,7544.7098,1256,1848.86520841686,9993.714725
