name,sme,iteracion
16,4906.25,102
16,4318.06640625,128
16,2995.46012878418,256
160,4906.25,102
160,4329.97283935547,128
160,2998.43673706055,256
1600,4906.25,102
1600,4329.97283935547,128
1600,2998.43673706055,256
16000,4906.25,102
16000,4329.97283935547,128
16000,2998.43673706055,256
160000,4906.25,102
160000,4329.97283935547,128
160000,2998.43673706055,256
16,6912.5,1102
16,7374.050903,1128
16,7520.896912,1256
160,6925,1102
160,7397.86377,1128
160,7544.709778,1256
1600,6925,1102
1600,7397.86377,1128
1600,7544.709778,1256
16000,6925,1102
16000,7397.86377,1128
16000,7544.709778,1256
160000,6925,1102
160000,7397.86377,1128
160000,7544.709778,1256
