name,rms,iteracion,
16,4675,102,0.0096116878
16,4087.8753662109,128,0.0061035156
16,2681.9240570068,256,0.0015258789
160,4662.5,102,0.0096116878
160,4072.0001220703,128,0.0061035156
160,2672.9942321777,256,0.0015258789
1600,4662.5,102,0.0096116878
1600,4072.0001220703,128,0.0061035156
1600,2672.9942321777,256,0.0015258789
16000,4662.5,102,0.0096116878
16000,4072.0001220703,128,0.0061035156
16000,2672.9942321777,256,0.0015258789
160000,4662.5,102,0.0096116878
160000,4072.0001220703,128,0.0061035156
160000,2672.9942321777,256,0.0015258789
16,6350,1102,
16,7247.04895,1128,
16,7927.700043,1256,
160,6350,1102,
160,7215.298462,1128,
160,7909.840393,1256,
1600,6350,1102,
1600,7215.298462,1128,
1600,7909.840393,1256,
16000,6350,1102,
16000,7215.298462,1128,
16000,7909.840393,1256,
160000,6350,1102,
160000,7215.298462,1128,
160000,7909.840393,1256,
