name,ssim,iteracion,
16,0.6995526637,102,0.0096116878
16,0.7258898186,128,0.0061035156
16,0.8153092576,256,0.0015258789
160,0.7006047379,102,0.0096116878
160,0.7277025411,128,0.0061035156
160,0.8162711359,256,0.0015258789
1600,0.7006047379,102,0.0096116878
1600,0.7277025411,128,0.0061035156
1600,0.8162711359,256,0.0015258789
16000,0.7006047379,102,0.0096116878
16000,0.7277025411,128,0.0061035156
16000,0.8162711359,256,0.0015258789
160000,0.7006047379,102,0.0096116878
160000,0.7277025411,128,0.0061035156
160000,0.8162711359,256,0.0015258789
16,0.5956017741,1102,
16,0.559113481,1128,
16,0.5297174399,1256,
160,0.5953248927,1102,
160,0.5617033846,1128,
160,0.5308681653,1256,
1600,0.5953248927,1102,
1600,0.5617033846,1128,
1600,0.5308681653,1256,
16000,0.5953248927,1102,
16000,0.5617033846,1128,
16000,0.5308681653,1256,
160000,0.5953248927,1102,
160000,0.5617033846,1128,
160000,0.5308681653,1256,
